,12
1627,21.941145996435218
90,18.25962245634977
832,20.316071908004066
189,20.78495480022184
228,17.673239310364888
21,20.37992804672896
95,18.03337629946046
847,23.75004630306469
1507,14.411266381411584
1602,17.040278672655923
1515,21.07045248572791
207,17.763158716067498
697,14.011610085313208
543,16.183481234957483
1367,16.93398050143472
1172,24.25538790901179
1464,20.33142573491657
613,24.195549144831645
356,23.08923485870146
546,19.40812491950633
103,23.827203488446735
288,20.003071715245454
532,19.65435001046941
1169,14.25916534136607
251,18.85371855344276
1673,13.74736466621561
681,17.199741936937414
991,16.500842591294198
1474,12.150297381128471
1529,9.835858805269591
1589,16.04272411935452
1220,13.05066461891396
293,19.512171015319016
1731,11.763980161502198
200,15.537777236444246
1366,6.415157502034427
1420,8.521434681679112
1244,23.33643973789109
1260,12.46851527015332
535,15.727832286669797
360,16.490162166442566
185,19.58504244289975
1523,22.34686036479451
1741,11.342155658347368
1136,11.156514592780216
146,21.53510292263822
1214,15.322930508362903
1205,16.00097847845115
718,19.621354429962533
1252,18.391772180543143
1374,8.59605861712458
837,9.68659116826355
939,12.241892385587088
732,20.507676839383745
1716,18.92915971687105
1030,20.7756453481757
680,21.87510937492257
560,18.225789464520798
92,18.145220964753573
831,13.100353203535612
521,25.013537755087025
232,17.25841130525292
465,19.40724183708805
655,19.45022655080569
1041,20.915278233413066
300,21.09305425834757
1600,22.13821533141847
1117,16.804286053216597
1259,12.052259003355683
519,21.99561643030026
906,18.121829510369214
132,17.13407428107446
454,18.87100841150008
1307,6.5353592235584825
1645,13.764352646944692
429,14.378897991286108
1046,10.088739369194055
1580,15.903027528316386
1597,15.077815028451043
1264,19.476415641428403
1552,13.743870050888365
556,19.904101612636712
1708,19.761931576456856
809,21.07100372838321
744,13.06548151410746
120,21.87345765971366
1153,11.528134090610392
493,19.36718203384584
1005,15.29558901433864
874,24.92006400531884
1031,13.372494657301562
925,16.828218582128514
1013,24.07084524784088
1512,22.173356503351016
830,10.965461559060625
1631,9.04521330510444
307,19.488960979245103
1744,21.365373552858276
545,19.49198811024094
1691,13.193912214695391
508,19.023082609374004
180,20.365159194695742
1639,10.223291380500402
315,14.155374712873853
800,14.71240190429772
1392,22.79593785077877
1176,15.123791463297373
473,18.45964983232965
576,13.068132634058417
421,23.88895581086399
119,22.52549009069605
354,22.119073130086417
1068,12.44451217818884
81,15.021281157433704
574,24.76006957143789
825,12.81499647696757
1630,14.537345218588383
1201,8.6306495786305
1460,12.17235207516526
1189,11.801883190226556
1326,17.83745144656163
806,12.871443712563948
402,21.10127122846933
476,19.50654579886108
1527,10.89705220868278
634,15.79615216775367
1489,19.70749250079825
287,17.074097362626055
282,19.96701262659324
148,22.51960585155463
1208,17.479510609357558
652,16.853132928339473
645,22.36174944199349
1058,19.08185773695405
1660,13.582133587613418
1525,9.199253027117749
913,14.653065721833997
1029,14.8803399547127
214,19.30085197204945
1338,10.083302073591074
133,17.785523621725666
164,18.456204444845834
1621,13.48923333265042
1036,18.16570408624533
848,10.709971055681436
889,22.350789802011825
3,17.455934806413197
1311,9.53139258663682
99,18.88422430560584
1334,11.873386433116844
380,19.172764974973997
1142,9.947779576742589
242,15.431187451903122
1433,10.21082112160596
1619,11.31043155635149
957,19.70488464247615
339,26.40153520128557
1028,16.98155916113419
1088,12.783128328664828
301,18.37278086528687
1504,18.66887982575124
571,17.002123676038895
731,17.158633514912395
604,25.38688960340793
1126,21.263844111690865
1365,17.57044190021939
691,10.191637469297977
340,15.737167915999317
1113,18.69868645391537
663,19.09593120154832
205,19.89229684765822
1733,15.516181883682814
1213,18.641916257289704
1395,21.684687625810515
208,21.34748143455974
867,18.66386609957513
1376,11.068397706847728
765,11.47236338746798
742,20.93493823234518
392,19.802021190625783
420,21.491497739051656
1044,11.11074104472647
1467,9.31992658718708
1506,14.99711653519408
387,19.19619094039085
792,19.22621327776354
717,23.628671477033475
222,20.579349461426204
799,19.511431536288445
934,17.39943164852184
1655,22.243766606179285
1250,13.427293950589288
496,16.172185592273877
362,16.443901105328766
398,23.485323072039844
966,14.121368499916157
642,17.071169294441447
1265,12.159678416518627
1584,17.594605028774318
783,19.66054723095681
1216,16.106898620430123
635,18.892015942564235
109,17.713525558946667
